Itemname,Effectnum,Unixtime,Value
Master's Yellow Belt,10,1704923475,1454.4621000000002
Master's Yellow Belt,11,1648201719,223.76340000000002
Master's Yellow Belt,12,1691304572,479.49300000000005
Master's Yellow Belt,13,1715175240,1917.9720000000002
Master's Yellow Belt,14,1726906328,1854.0396
Master's Yellow Belt,15,1728329129,402.77412000000004
Master's Yellow Belt,16,1632474265,268.51608000000004
Master's Yellow Belt,17,1723927262,1086.8508000000002
Master's Yellow Belt,18,1716287109,351.62820000000005
Master's Yellow Belt,19,1737067640,591.3747000000001
Master's Yellow Belt,29,1715539700,415.5606
Master's Yellow Belt,30,1737204281,311.67045
Master's Yellow Belt,31,1724686599,177.41241000000002
Master's Yellow Belt,32,1726108674,399.57750000000004
Master's Yellow Belt,33,1715932272,223.76340000000002
Master's Yellow Belt,34,1716287146,214.17354
Master's Yellow Belt,35,1712075383,207.7803
Master's Yellow Belt,36,1728491309,190.19889
Master's Yellow Belt,37,1684683944,583.38315
Master's Yellow Belt,38,1654207267,2397.465
Master's Yellow Belt,39,1627546753,375.60285000000005
Master's Yellow Belt,40,1619243085,532.2372300000001
Master's Yellow Belt,44,1565921308,271.71270000000004
Master's Yellow Belt,56,1715658515,335.6451
Master's Yellow Belt,57,1682977442,399.57750000000004
Master's Yellow Belt,58,1688903354,367.6113
Master's Yellow Belt,59,1735462713,217.37016000000003
Master's Yellow Belt,6,1693142974,319.66200000000003
Master's Yellow Belt,60,1716287128,332.44848
Master's Yellow Belt,61,1737133517,391.58595
Master's Yellow Belt,62,1730578452,759.19725
Master's Yellow Belt,63,1695126281,998.94375
Master's Yellow Belt,65,1720035287,479.49300000000005
Master's Yellow Belt,7,1668243270,199.78875000000002
Master's Yellow Belt,71,1654203128,1038.9015000000002
Master's Yellow Belt,72,1515845264,399.57750000000004
Master's Yellow Belt,77,1572360802,927.0198
Master's Yellow Belt,8,1680039755,639.3240000000001
Master's Yellow Belt,9,1707423838,1470.4452
Master's Yellow Belt,73,1405222113,279.70425
Master's Yellow Belt,69,1653939592,2237.634
Master's Yellow Belt,80,1733378309,8311.212000000001
Master's Yellow Belt,43,1562632788,958.9860000000001
Master's Yellow Belt,68,1647423172,383.5944
Master's Yellow Belt,78,1628825595,2557.2960000000003
Master's Yellow Belt,89,1733880308,1278.6480000000001
Master's Yellow Belt,86,1605713971,871.0789500000001
Master's Yellow Belt,88,1651885193,591.3747000000001
Master's Yellow Belt,87,1505193563,191.7972
Master's Yellow Belt,90,1599295218,383.5944
Master's Yellow Belt,79,1458844963,191.7972
Master's Yellow Belt,70,1654285521,2717.1270000000004
Master's Yellow Belt,84,1620771784,998.94375
Master's Yellow Belt,74,1527434524,639.3240000000001
Master's Yellow Belt,75,1598744392,1598.3100000000002
Master's Yellow Belt,67,1556437978,155.03607000000002
Master's Yellow Belt,76,1608675592,2397.465
Master's Yellow Belt,46,1589019534,655.3071000000001
Master's Yellow Belt,83,1582221240,479.49300000000005
Dread Knot,10,1578666484,31.9662
Dread Knot,11,1594489694,11.188170000000001
Dread Knot,12,1734567474,28.76958
Dread Knot,13,1727803337,129.46311
Dread Knot,14,1673208732,87.90705000000001
Dread Knot,15,1566234794,17.58141
Dread Knot,16,1693313299,19.179720000000003
Dread Knot,17,1566632921,33.564510000000006
Dread Knot,18,1499052404,15.9831
Dread Knot,19,1423012363,22.376340000000003
Dread Knot,29,1711932072,12.786480000000001
Dread Knot,30,1676714963,15.9831
Dread Knot,31,1637502571,14.38479
Dread Knot,32,1557744476,11.987325
Dread Knot,33,1690239864,14.38479
Dread Knot,34,1581519670,10.389015
Dread Knot,35,1533741311,11.987325
Dread Knot,36,1525125214,11.987325
Dread Knot,37,1499033099,19.179720000000003
Dread Knot,38,1714167200,260.52453
Dread Knot,39,1644648874,33.564510000000006
Dread Knot,40,1662883803,46.35099
